Title,Year,Runtime,Genre,imdbRating,imdbVotes
A Clockwork Orange,1971,136 min,"Crime, Drama, Sci-Fi",8.3,"601,251"
Willy Wonka & the Chocolate Factory,1971,100 min,"Family, Fantasy, Musical",7.8,"140,106"
The Godfather,1972,175 min,"Crime, Drama",9.2,"1,243,444"
The Exorcist,1973,122 min,Horror,8,"299,364"
The Sting,1973,129 min,"Comedy, Crime, Drama",8.3,"190,154"
The Godfather: Part II,1974,202 min,"Crime, Drama",9,"856,870"
Chinatown,1974,130 min,"Drama, Mystery, Thriller",8.2,"232,188"
Young Frankenstein,1974,106 min,Comedy,8,"121,147"
Blazing Saddles,1974,93 min,"Comedy, Western",7.8,"103,800"
The Texas Chain Saw Massacre,1974,83 min,Horror,7.5,"103,510"
One Flew Over the Cuckoo's Nest,1975,133 min,Drama,8.7,"729,653"
Jaws,1975,124 min,"Adventure, Drama, Thriller",8,"445,407"
Monty Python and the Holy Grail,1975,91 min,"Adventure, Comedy, Fantasy",8.3,"408,671"
Dog Day Afternoon,1975,125 min,"Biography, Crime, Drama",8,"194,970"
Barry Lyndon,1975,184 min,"Adventure, Drama, History",8.1,"110,576"
Taxi Driver,1976,113 min,"Crime, Drama",8.3,"549,211"
Rocky,1976,120 min,"Drama, Sport",8.1,"407,892"
Network,1976,121 min,Drama,8.1,"111,892"
Star Wars: Episode IV - A New Hope,1977,121 min,"Action, Adventure, Fantasy",8.7,"982,688"
Annie Hall,1977,93 min,"Comedy, Romance",8.1,"208,523"
Close Encounters of the Third Kind,1977,137 min,"Drama, Sci-Fi",7.7,"147,772"
The Deer Hunter,1978,183 min,"Drama, War",8.2,"249,067"
Grease,1978,110 min,"Musical, Romance",7.2,"181,489"
Halloween,1978,91 min,"Horror, Thriller",7.9,"168,969"
Superman,1978,143 min,"Action, Adventure, Drama",7.3,"133,617"
Alien,1979,117 min,"Horror, Sci-Fi",8.5,"618,222"
Apocalypse Now,1979,153 min,"Drama, War",8.5,"481,465"
Life of Brian,1979,94 min,Comedy,8.1,"291,865"
Mad Max,1979,88 min,"Action, Adventure, Sci-Fi",7,"161,293"
